Dataset Atlas Type Value
SWU4 Hammer Ipsi 0.9173199222233593
SWU4 Hammer Ipsi 0.9286529484940824
SWU4 Hammer Ipsi 0.8576297882007816
SWU4 Hammer Ipsi 0.8892820445723371
SWU4 Hammer Ipsi 0.8913682048430365
SWU4 Hammer Ipsi 0.9032831613096577
SWU4 Hammer Ipsi 0.8742463779253381
SWU4 Hammer Ipsi 0.9256687347659083
SWU4 Hammer Ipsi 0.9281216601708551
SWU4 Hammer Ipsi 0.7760339051751887
SWU4 Hammer Ipsi 0.7960694865779044
SWU4 Hammer Ipsi 0.8827380241761434
SWU4 Hammer Ipsi 0.838388258616587
SWU4 Hammer Ipsi 0.8779468771735272
SWU4 Hammer Ipsi 0.8195154978251519
SWU4 Hammer Ipsi 0.8942119798058589
SWU4 Hammer Ipsi 0.7600603911174275
SWU4 Hammer Ipsi 0.8998242052902541
SWU4 Hammer Ipsi 0.760974947326837
SWU4 Hammer Ipsi 0.9084961079473947
SWU4 Hammer Ipsi 0.9242613409254166
SWU4 Hammer Ipsi 0.8981085754733041
SWU4 Hammer Ipsi 0.8431281674548273
SWU4 Hammer Ipsi 0.845642885905902
SWU4 Hammer Ipsi 0.9211400638224742
SWU4 Hammer Ipsi 0.9026021904985531
SWU4 Hammer Ipsi 0.946901695050485
SWU4 Hammer Ipsi 0.7286621754627531
SWU4 Hammer Ipsi 0.8124499576104454
SWU4 Hammer Ipsi 0.8503341518459904
SWU4 Hammer Ipsi 0.9251151596824599
SWU4 Hammer Ipsi 0.8545185552249331
SWU4 Hammer Ipsi 0.8730519112130106
SWU4 Hammer Ipsi 0.8132141350069606
SWU4 Hammer Ipsi 0.885532565748729
SWU4 Hammer Ipsi 0.8940547538513436
SWU4 Hammer Ipsi 0.9447668304029894
SWU4 Hammer Ipsi 0.8645732650844236
SWU4 Hammer Ipsi 0.8904915851603095
SWU4 Hammer Ipsi 0.8101124875726526
SWU4 Hammer Ipsi 0.9356152093235016
SWU4 Hammer Ipsi 0.8639224445921551
SWU4 Hammer Ipsi 0.9534026235301771
SWU4 Hammer Ipsi 0.8869355700466183
SWU4 Hammer Ipsi 0.7516484260652714
SWU4 Hammer Ipsi 0.8499417086591197
SWU4 Hammer Ipsi 0.8425276685024915
SWU4 Hammer Ipsi 0.8375799689112052
SWU4 Hammer Ipsi 0.8592339706814929
SWU4 Hammer Ipsi 0.8831866995815476
SWU4 Hammer Ipsi 0.880323498723117
SWU4 Hammer Ipsi 0.9273070778452235
SWU4 Hammer Ipsi 0.9466032982309036
SWU4 Hammer Ipsi 0.7742650365709232
SWU4 Hammer Ipsi 0.8607932923880637
SWU4 Hammer Ipsi 0.8163338680636074
SWU4 Hammer Ipsi 0.7970700389098648
SWU4 Hammer Ipsi 0.8461494317516648
SWU4 Hammer Ipsi 0.9088561940867144
SWU4 Hammer Ipsi 0.8323292277758403
SWU4 Hammer Ipsi 0.8641911691822558
SWU4 Hammer Ipsi 0.8698810829321891
SWU4 Hammer Ipsi 0.8746077267847627
SWU4 Hammer Ipsi 0.9263772913477055
SWU4 Hammer Ipsi 0.797124405113977
SWU4 Hammer Ipsi 0.850087571863039
SWU4 Hammer Ipsi 0.7667819618867926
SWU4 Hammer Ipsi 0.8203684197847286
SWU4 Hammer Ipsi 0.8879275617027478
SWU4 Hammer Ipsi 0.8683506770608828
SWU4 Hammer Ipsi 0.855815232136105
SWU4 Hammer Ipsi 0.8732970331306452
SWU4 Hammer Ipsi 0.8549864915549654
SWU4 Hammer Ipsi 0.9359649594044525
SWU4 Hammer Ipsi 0.9667227444995581
SWU4 Hammer Ipsi 0.8486723130064278
SWU4 Hammer Ipsi 0.8860478783602526
SWU4 Hammer Ipsi 0.7830907542163742
SWU4 Hammer Ipsi 0.9175543803906941
SWU4 Hammer Ipsi 0.7257315312505275
SWU4 Hammer Ipsi 0.8135293668328383
SWU4 Hammer Ipsi 0.8346646568648082
SWU4 Hammer Ipsi 0.8588698024111275
SWU4 Hammer Ipsi 0.8345685412427442
SWU4 Hammer Ipsi 0.813622972260781
SWU4 Hammer Ipsi 0.8234826755786606
SWU4 Hammer Ipsi 0.8805737431004249
SWU4 Hammer Ipsi 0.8717850690691639
SWU4 Hammer Ipsi 0.8428587199692915
SWU4 Hammer Ipsi 0.8439464856858483
SWU4 Hammer Ipsi 0.8296185733035776
SWU4 Hammer Ipsi 0.8394672646944454
SWU4 Hammer Ipsi 0.8303446720481502
SWU4 Hammer Ipsi 0.9287258487453036
SWU4 Hammer Ipsi 0.8715285062315099
SWU4 Hammer Ipsi 0.8478815032787823
SWU4 Hammer Ipsi 0.8845773068643249
SWU4 Hammer Ipsi 0.8818638937658553
SWU4 Hammer Ipsi 0.8482623034598704
SWU4 Hammer Ipsi 0.91736177294194
SWU4 Hammer Ipsi 0.8845823384399848
SWU4 Hammer Ipsi 0.9099729663270187
SWU4 Hammer Ipsi 0.8525680788231323
SWU4 Hammer Ipsi 0.913787442123251
SWU4 Hammer Ipsi 0.8960576386971749
SWU4 Hammer Ipsi 0.9070698545133032
SWU4 Hammer Ipsi 0.8525966245473713
SWU4 Hammer Ipsi 0.8876557239485898
SWU4 Hammer Ipsi 0.8637141212872339
SWU4 Hammer Ipsi 0.9017331386947363
SWU4 Hammer Ipsi 0.753379308240841
SWU4 Hammer Ipsi 0.9025133790504903
SWU4 Hammer Ipsi 0.8584045093930073
SWU4 Hammer Ipsi 0.8175767738759996
SWU4 Hammer Ipsi 0.9143005476955057
SWU4 Hammer Ipsi 0.8470197086716832
SWU4 Hammer Ipsi 0.875080892172337
SWU4 Hammer Ipsi 0.7378162770906009
SWU4 Hammer Ipsi 0.8659218361729354
SWU4 Hammer Ipsi 0.8804408025747985
SWU4 Hammer Ipsi 0.8827755284467347
SWU4 Hammer Ipsi 0.8422066794277762
SWU4 Hammer Ipsi 0.7783696830305052
SWU4 Hammer Ipsi 0.9286079099690582
SWU4 Hammer Ipsi 0.7709769297663482
