Dataset Atlas Type Value
SWU4 DKT Ipsi 0.833794990008994
SWU4 DKT Ipsi 0.8806492807041904
SWU4 DKT Ipsi 0.8931657528363707
SWU4 DKT Ipsi 0.8246395745948796
SWU4 DKT Ipsi 0.7641421731584223
SWU4 DKT Ipsi 0.8413734135591812
SWU4 DKT Ipsi 0.8243856222730106
SWU4 DKT Ipsi 0.8452793241600768
SWU4 DKT Ipsi 0.7945086741000181
SWU4 DKT Ipsi 0.8461022651284097
SWU4 DKT Ipsi 0.7320119651568792
SWU4 DKT Ipsi 0.8383932970017847
SWU4 DKT Ipsi 0.773792662071281
SWU4 DKT Ipsi 0.865741955353782
SWU4 DKT Ipsi 0.8711621058607603
SWU4 DKT Ipsi 0.8647785080967486
SWU4 DKT Ipsi 0.850749493827674
SWU4 DKT Ipsi 0.8219542600651258
SWU4 DKT Ipsi 0.8873907869038715
SWU4 DKT Ipsi 0.8718538962882646
SWU4 DKT Ipsi 0.9164897151072142
SWU4 DKT Ipsi 0.740537521717636
SWU4 DKT Ipsi 0.79112093941661
SWU4 DKT Ipsi 0.8179493521759348
SWU4 DKT Ipsi 0.8681897939765382
SWU4 DKT Ipsi 0.8325777618728379
SWU4 DKT Ipsi 0.8630266621844835
SWU4 DKT Ipsi 0.8177539258595357
SWU4 DKT Ipsi 0.8717973298959477
SWU4 DKT Ipsi 0.8559827262069016
SWU4 DKT Ipsi 0.8938229074045776
SWU4 DKT Ipsi 0.8452325019070802
SWU4 DKT Ipsi 0.8376529300370861
SWU4 DKT Ipsi 0.7778919043981296
SWU4 DKT Ipsi 0.8984981292199126
SWU4 DKT Ipsi 0.843632250182904
SWU4 DKT Ipsi 0.9018741869955653
SWU4 DKT Ipsi 0.8223046041000904
SWU4 DKT Ipsi 0.7820054834132517
SWU4 DKT Ipsi 0.832211474428496
SWU4 DKT Ipsi 0.7855391089494699
SWU4 DKT Ipsi 0.8252731803789566
SWU4 DKT Ipsi 0.8294915498396889
SWU4 DKT Ipsi 0.8485417388337708
SWU4 DKT Ipsi 0.8522598116976213
SWU4 DKT Ipsi 0.8733357998895299
SWU4 DKT Ipsi 0.8967855965348012
SWU4 DKT Ipsi 0.7986646243680314
SWU4 DKT Ipsi 0.8578593476519343
SWU4 DKT Ipsi 0.7935992899939099
SWU4 DKT Ipsi 0.7747250326161842
SWU4 DKT Ipsi 0.7939536642107664
SWU4 DKT Ipsi 0.856240875562334
SWU4 DKT Ipsi 0.8026551373568903
SWU4 DKT Ipsi 0.8167462187388799
SWU4 DKT Ipsi 0.8158347147500682
SWU4 DKT Ipsi 0.8587599978107354
SWU4 DKT Ipsi 0.8942850693053208
SWU4 DKT Ipsi 0.7742366433512434
SWU4 DKT Ipsi 0.8018148567732718
SWU4 DKT Ipsi 0.7871028653945358
SWU4 DKT Ipsi 0.7954548444009802
SWU4 DKT Ipsi 0.8377711764331999
SWU4 DKT Ipsi 0.8248744069128827
SWU4 DKT Ipsi 0.8192008015855338
SWU4 DKT Ipsi 0.8438741717904527
SWU4 DKT Ipsi 0.799072322685226
SWU4 DKT Ipsi 0.9030958137987481
SWU4 DKT Ipsi 0.9267892157947619
SWU4 DKT Ipsi 0.8275495658415216
SWU4 DKT Ipsi 0.8439056358107098
SWU4 DKT Ipsi 0.7751037814954702
SWU4 DKT Ipsi 0.8561872639541445
SWU4 DKT Ipsi 0.7514176284262913
SWU4 DKT Ipsi 0.7917045327627457
SWU4 DKT Ipsi 0.8378684513773161
SWU4 DKT Ipsi 0.8278613149233965
SWU4 DKT Ipsi 0.8070453972447136
SWU4 DKT Ipsi 0.8066632773638278
