Dataset Atlas Type Value
SWU4 AAL Ipsi 0.3700827504537205
SWU4 AAL Ipsi 0.27131786237144584
SWU4 AAL Ipsi 0.3599906745311555
SWU4 AAL Ipsi 0.257981463399879
SWU4 AAL Ipsi 0.3237052168784029
SWU4 AAL Ipsi 0.3211068263762855
SWU4 AAL Ipsi 0.19963943103448276
SWU4 AAL Ipsi 0.28983381911675743
SWU4 AAL Ipsi 0.35202930127041737
SWU4 AAL Ipsi 0.43974270326678766
SWU4 AAL Ipsi 0.22917281125226863
SWU4 AAL Ipsi 0.3825919888082275
SWU4 AAL Ipsi 0.3063633469449486
SWU4 AAL Ipsi 0.26021562310949786
SWU4 AAL Ipsi 0.3177194694494858
SWU4 AAL Ipsi 0.2641821191772535
SWU4 AAL Ipsi 0.327636242891712
SWU4 AAL Ipsi 0.2506823868723533
SWU4 AAL Ipsi 0.24055638475499092
SWU4 AAL Ipsi 0.316966018753781
SWU4 AAL Ipsi 0.3661223663036903
SWU4 AAL Ipsi 0.3139711860254084
SWU4 AAL Ipsi 0.23418561252268602
SWU4 AAL Ipsi 0.23905015880217786
SWU4 AAL Ipsi 0.29804476043557165
SWU4 AAL Ipsi 0.24987002934059285
SWU4 AAL Ipsi 0.4104456781609196
SWU4 AAL Ipsi 0.3236566104053236
SWU4 AAL Ipsi 0.24134364670296432
SWU4 AAL Ipsi 0.2229744313369631
SWU4 AAL Ipsi 0.3516546724137931
SWU4 AAL Ipsi 0.2722312831215971
SWU4 AAL Ipsi 0.24249867453115542
SWU4 AAL Ipsi 0.3794847943133696
SWU4 AAL Ipsi 0.24643350453720508
SWU4 AAL Ipsi 0.3085678914095584
SWU4 AAL Ipsi 0.2870073986690865
SWU4 AAL Ipsi 0.32342449243799154
SWU4 AAL Ipsi 0.2467247068965517
SWU4 AAL Ipsi 0.25993577797943135
SWU4 AAL Ipsi 0.37615873260738053
SWU4 AAL Ipsi 0.3086907183908046
SWU4 AAL Ipsi 0.42262293678160917
SWU4 AAL Ipsi 0.2143731566848155
SWU4 AAL Ipsi 0.2876673765880218
SWU4 AAL Ipsi 0.3557348560193587
SWU4 AAL Ipsi 0.2204436506352087
SWU4 AAL Ipsi 0.2784212876588022
SWU4 AAL Ipsi 0.3008272377495463
SWU4 AAL Ipsi 0.3202624473684211
SWU4 AAL Ipsi 0.30521210586811853
SWU4 AAL Ipsi 0.27561855686630365
