Dataset Atlas Type Value
SWU4 AAL Ipsi 0.8732786252150107
SWU4 AAL Ipsi 0.8381162411052832
SWU4 AAL Ipsi 0.9026287206375272
SWU4 AAL Ipsi 0.8301609606215427
SWU4 AAL Ipsi 0.7683808175688527
SWU4 AAL Ipsi 0.8112327270596641
SWU4 AAL Ipsi 0.8254398408608662
SWU4 AAL Ipsi 0.8605284977275519
SWU4 AAL Ipsi 0.8153971698791979
SWU4 AAL Ipsi 0.8484538061774112
SWU4 AAL Ipsi 0.7692355823647472
SWU4 AAL Ipsi 0.8905591885610088
SWU4 AAL Ipsi 0.7962095565043451
SWU4 AAL Ipsi 0.8717345042424238
SWU4 AAL Ipsi 0.9000199519515465
SWU4 AAL Ipsi 0.8165111564360442
SWU4 AAL Ipsi 0.8347643054604749
SWU4 AAL Ipsi 0.8471564063636404
SWU4 AAL Ipsi 0.8671242901042477
SWU4 AAL Ipsi 0.8694240224210391
SWU4 AAL Ipsi 0.9175171233361268
SWU4 AAL Ipsi 0.756459847431591
SWU4 AAL Ipsi 0.8058611794724813
SWU4 AAL Ipsi 0.8016779540429475
SWU4 AAL Ipsi 0.8967642328723062
SWU4 AAL Ipsi 0.8515487626667945
SWU4 AAL Ipsi 0.8114611443882473
SWU4 AAL Ipsi 0.8265439806502612
SWU4 AAL Ipsi 0.8371086890517626
SWU4 AAL Ipsi 0.873035677855006
SWU4 AAL Ipsi 0.8909655556966903
SWU4 AAL Ipsi 0.8078160018624573
SWU4 AAL Ipsi 0.8696310316799511
SWU4 AAL Ipsi 0.8140802562202958
SWU4 AAL Ipsi 0.8882002581364564
SWU4 AAL Ipsi 0.858072337064501
SWU4 AAL Ipsi 0.8778397862130574
SWU4 AAL Ipsi 0.8498650557782937
SWU4 AAL Ipsi 0.7988371610116699
SWU4 AAL Ipsi 0.8009962209218734
SWU4 AAL Ipsi 0.7772756078487202
SWU4 AAL Ipsi 0.8099809369163907
SWU4 AAL Ipsi 0.8178324860901105
SWU4 AAL Ipsi 0.8497318302395365
SWU4 AAL Ipsi 0.8186747514471588
SWU4 AAL Ipsi 0.8962276499834374
SWU4 AAL Ipsi 0.9114044265280662
SWU4 AAL Ipsi 0.7857067067138849
SWU4 AAL Ipsi 0.8504655925085531
SWU4 AAL Ipsi 0.8158882995782883
SWU4 AAL Ipsi 0.7548150490421739
SWU4 AAL Ipsi 0.844183518132616
SWU4 AAL Ipsi 0.8828864663936915
SWU4 AAL Ipsi 0.7552352686848778
SWU4 AAL Ipsi 0.7945585797279274
SWU4 AAL Ipsi 0.8522999769919231
SWU4 AAL Ipsi 0.8852229202704964
SWU4 AAL Ipsi 0.8959950078903915
SWU4 AAL Ipsi 0.7629742726273883
SWU4 AAL Ipsi 0.8532481601973427
SWU4 AAL Ipsi 0.8168655987153579
SWU4 AAL Ipsi 0.81841314356723
SWU4 AAL Ipsi 0.8309780033044545
SWU4 AAL Ipsi 0.8076077905139583
SWU4 AAL Ipsi 0.8318273955265594
SWU4 AAL Ipsi 0.7982330248716585
SWU4 AAL Ipsi 0.8331548433585203
SWU4 AAL Ipsi 0.878397265838748
SWU4 AAL Ipsi 0.9579157077321664
SWU4 AAL Ipsi 0.8279043133279779
SWU4 AAL Ipsi 0.8479412626828037
SWU4 AAL Ipsi 0.8057858191364689
SWU4 AAL Ipsi 0.8629117431527263
SWU4 AAL Ipsi 0.7728303288340103
SWU4 AAL Ipsi 0.794947187932043
SWU4 AAL Ipsi 0.8248074402721329
SWU4 AAL Ipsi 0.8448584730393499
SWU4 AAL Ipsi 0.7906229639766171
SWU4 AAL Ipsi 0.7814670030433566
SWU4 AAL Ipsi 0.7951879055154467
SWU4 AAL Ipsi 0.8761300960772914
SWU4 AAL Ipsi 0.8282799950953345
SWU4 AAL Ipsi 0.8054573888580677
SWU4 AAL Ipsi 0.8277976342906879
